group,avgSim,maxSim,nounsSize,verbsSize,jdSimilarity
1,0.051786702205754445,0.08955223880597014,65,39,0.03804347826086957
2,0.03131446511154949,0.042735042735042736,47,33,0.04375
3,0.04789208793657266,0.072,64,28,0.03468208092485549
4,0.030410093041319298,0.040697674418604654,62,29,0.04142011834319527
5,0.04650524887554702,0.08955223880597014,25,18,0.056451612903225805
6,0.033140912298251356,0.05154639175257732,62,39,0.016216216216216217
7,0.04368921215213341,0.059782608695652176,75,30,0.026737967914438502
8,0.04275152611918027,0.0718232044198895,61,30,0.028735632183908046
